label,status,observed,reference,ratio,passed,note
1.1,可执行数值诊断,0.20403140625000005,0.04802810790770135,4.248166649456607,True,定理 1.2 下界的有限分辨率诊断
1.2,可执行数值诊断,0.20403140625000005,0.005783877102287317,35.275888930854514,True,断言 D 的数值下界诊断
1.3,可执行数值诊断,0.20403140625000005,0.011710862871850448,17.42240588782172,True,断言 E 的数值下界诊断
1.4,可执行数值诊断,0.20403140625000005,0.04802810790770135,4.248166649456607,True,推论 1.10 的数值诊断
1.5,可执行数值诊断,0.20403140625000005,0.19142856025970692,1.0658357664770353,True,证明概览中的改进并集体积目标
1.6,可执行数值诊断,1.0,5.223880901801288,5.223880901801288,True,典型重数目标
1.7/1.12,可执行数值诊断,0.5454545454545454,0.6427549565235704,0.8486197421249183,False,采样 τ-球内的局部密度；省略渐近隐含常数
1.7,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.8,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.9,可执行数值诊断,1.0,0.7844686220751045,0.7844686220751045,False,细尺度重数估计
1.10,恒等关系诊断,1.0,1.0,1.0,True,μ≈μ_fine μ_coarse 的中位数类比
1.11,可执行数值诊断,1.0,2.354362083745639,2.354362083745639,True,粗尺度重数目标
1.12,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.13,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.14,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
2.1,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.2,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.3,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.4,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.5,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.6,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.7,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.8,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.9,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.10,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.11,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.12,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.1,可执行,1.0,1.0,1.0,True,Katz–Tao 凸 Wolff 常数采样估计
4.2,可执行,0.2439272510008176,0.2439272510008176,1.0,True,Frostman 板 Wolff 常数采样估计
4.3,数值跟踪,,,,,通过多尺度分组检查覆盖继承；常数来自采样
4.4,数值跟踪,,,,,向下继承由分组探针估计表示
4.5,数值跟踪,4.0,,,,平衡覆盖基数诊断
4.6,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.7,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.8,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.9,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.10,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.11,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.12,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.13,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.14,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.15,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.16,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.17,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
